,id,name,host_id,host_name,neighbourhood,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,latitude_41.7,latitude_41.8,latitude_41.9,latitude_42.0,longitude_-87.8,longitude_-87.7,longitude_-87.6,longitude_-87.5,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,community_Central,community_Far North Side,community_Far Southeast Side,community_Far Southwest Side,community_North Side,community_Northwest Side,community_South Side,community_Southwest Side,community_West Side,price_range_100 - 149,price_range_150 - 199,price_range_200 - 249,price_range_250 +,price_range_50 - 99,price_range_< 50
0,2384,"Hyde Park - Walk to UChicago, 10 min to McCormick",2613,Rebecca,Hyde Park,60,2,178,2019-12-15,2.56,1,353,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,4505,394 Great Reviews. 127 y/o House. 40 yds to train.,5775,Craig & Kathleen,South Lawndale,105,2,395,2020-07-14,2.81,1,155,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2,7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,West Town,60,2,384,2020-03-08,2.81,1,321,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,9811,Barbara's Hideaway - Old Town,33004,At Home Inn,Lincoln Park,65,4,49,2019-10-23,0.63,9,300,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4,10610,3 Comforts of Cooperative Living,2140,Lois,Hyde Park,21,1,44,2020-02-14,0.61,5,168,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,10945,The Biddle House (#1),33004,At Home Inn,Lincoln Park,115,4,19,2020-08-06,0.24,9,325,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,Near North Side,99,5,9,2019-01-14,0.13,1,316,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,12140,Lincoln Park Guest House,46734,Sharon And Robert,Lincoln Park,289,2,4,2018-10-17,0.06,1,179,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8,22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,West Town,99,91,9,2014-10-12,0.11,2,365,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9,24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,Lincoln Park,112,32,37,2018-07-29,0.29,4,180,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,Lincoln Park,75,32,47,2020-05-11,0.38,4,62,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,28749,"Sanitized, Huge, Quirky Bucktown Loft + Parking",27506,Laurie,Logan Square,94,2,60,2020-09-07,0.5,1,332,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,37738,Andersonville - Perfect location!,162364,Mat And Randy,Uptown,77,3,250,2020-03-15,2.02,2,223,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,44020,2 Bed MCM 1 Block to Fullerton Red line L & Garage,101521,Red,Lincoln Park,95,32,52,2019-09-01,0.47,4,206,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
15,71930,"Rest, Relax and Explore",334241,Michael And Veronica,West Town,65,3,70,2020-07-09,0.62,2,178,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,Uptown,157,2,151,2020-07-05,1.3,5,363,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,84042,The Explorer Room,334241,Michael And Veronica,West Town,50,3,78,2020-08-20,0.68,2,314,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,Uptown,99,2,149,2020-07-19,1.31,5,363,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,Uptown,35,3,162,2020-03-08,1.44,1,138,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,North Center,197,2,31,2020-09-07,0.52,20,361,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Lincoln Park,279,2,52,2020-09-05,0.81,20,355,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,165952,"Two Bedroom, One Bathroom Apartment",791089,Conrad,Lake View,198,3,60,2019-10-21,0.54,4,364,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23,166667,Cozy Garden Studio,791089,Conrad,North Center,125,3,88,2019-10-19,0.79,4,365,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24,166706,"Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,Lake View,280,3,22,2019-06-03,0.2,4,365,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
25,175511,1BR/1BA Suite in Chicago (3709-G1),837429,Petru,Irving Park,79,28,33,2019-12-16,0.3,2,346,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
26,184764,Room w/private bath -kid friendly,886362,Julie,Portage Park,85,3,162,2019-11-28,1.46,1,324,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27,189821,"Best in Chicago, private, amazing garden space",899757,Meighan,Logan Square,201,3,506,2020-09-12,4.61,1,134,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28,198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,North Center,30,3,173,2020-08-29,1.61,1,89,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
29,207218,Historic Pullman Artist Flat - Artists & Explorers,1019125,Jb,Pullman,90,1,269,2020-04-11,2.44,2,289,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30,207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Pullman,39,30,39,2017-11-10,0.36,2,107,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32,225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Logan Square,79,2,20,2019-10-14,0.2,1,358,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
34,233933,BROWN ROOM - WALK TO TRAIN TO O'HARE/DOWNTOWN,1224828,Tippi,Irving Park,55,7,153,2020-02-16,1.4,2,179,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,248791,Quiet Bedroom/ARAGON/Train,272671,Two For The Road,Uptown,93,2,97,2020-02-19,0.9,5,363,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
36,250354,Close to Michigan Ave and parks,1311953,Ronald,Near South Side,170,180,39,2018-04-25,0.36,1,358,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,258253,Studio Apartment Unit 4,1358243,June,West Ridge,48,32,20,2020-04-01,0.19,1,344,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,261509,You'll love Chicago! Guaranteed!,858008,Kassie,Near North Side,119,32,62,2018-11-20,0.6,1,364,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,264547,Steps From the Best Chicago Offers,1387948,Dominic,Near West Side,204,10,65,2019-08-11,0.64,1,362,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,267646,Logan Square Classic Bungalow,1313038,Mark,Logan Square,103,2,139,2019-10-20,1.3,1,264,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
42,275496,Downtown 3BR/2BA Loft & Amazing River View,1142145,Jim,Near West Side,156,360,10,2014-11-08,0.13,1,364,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
43,289689,"30 Day+ Med student, interns & interim stays.",1376077,Killian,Edgewater,26,30,61,2020-03-20,0.57,1,332,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
44,289884,"Sunny Home w/ Private Bathroom, Parking, Laundry",1500490,Hailey,Logan Square,145,1,84,2019-10-28,0.84,2,365,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
46,298321,nice room with king size bed,1537881,Marko,Woodlawn,47,2,46,2019-09-28,0.45,1,365,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,313227,WHOLE PRIVATE FLOOR near Train,259284,Cheryl,Albany Park,85,3,47,2017-07-17,0.45,1,268,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,345075,"Spacious, Vintage Hyde Park Apt.",1746524,Patricia,Kenwood,85,2,232,2019-10-29,2.24,1,355,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50,350347,"Luxury Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Jay & Elisa,Lake View,128,3,499,2020-09-06,4.79,1,313,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
51,372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,West Town,178,2,215,2020-08-08,2.25,2,360,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
52,404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,West Town,105,5,189,2020-08-08,1.89,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
53,446474,Vintage Ukrainian Village Apt!,2217180,Yuri,West Town,175,3,4,2015-08-15,0.04,1,365,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
54,450648,Luxury Space - Come & Relax,2204693,Dl,Near South Side,119,3,38,2018-06-21,0.37,1,263,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,464581,"Large, Private Logan Square Studio",2308792,Jonathan,Logan Square,60,2,629,2020-09-17,6.39,1,127,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
58,496809,"Spacious Room with plush King Bed, Rogers Park",2453507,Estelle,Rogers Park,86,3,36,2018-08-28,0.45,3,364,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
59,507517,Private Lincoln Square Garden Apt,2501182,Nate,Lincoln Square,98,3,287,2020-09-08,2.87,1,174,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
60,537419,Groovy on the Lake  private bd/bth,919011,Jacqueline,Lake View,130,1,28,2015-10-20,0.28,2,365,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
61,542067,Logan Square Modern Vintage Garden,2273840,Sarah,Logan Square,132,3,260,2019-12-29,2.59,1,263,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
62,544261,Chicago Lakefront Sailing Yacht,2189245,Daniel,Near South Side,495,2,28,2015-07-16,0.28,1,365,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,548905,Home Away From Home,2698691,Leo,Grand Boulevard,89,2,227,2020-02-09,2.32,1,355,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
64,573540,Drop-dead fab on the Lake  2bd/2bth,919011,Jacqueline,Lake View,490,1,35,2015-09-21,0.35,2,365,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
65,585353,Great neighborhood! Price Drop *,2885441,Tracy,West Town,57,1,127,2020-01-20,1.27,6,263,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
66,585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,West Town,78,1,143,2020-03-08,1.45,6,349,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
67,589939,"Recent Price Drop, awesome area!",2885441,Tracy,West Town,69,1,66,2020-02-17,0.66,6,364,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
69,628149,Great for Students! Affordability+Location,2885441,Tracy,West Town,63,1,97,2020-09-01,0.99,6,323,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70,634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,Edgewater,66,2,82,2020-07-31,0.84,2,305,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
71,640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,Lake View,180,4,53,2020-08-31,1.91,1,119,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
74,651742,Edgebrook Lg bdr by golf course,2824576,Jeff,Forest Glen,60,3,66,2019-10-15,0.71,2,363,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
75,662034,Edgebrook bdr by golf course,2824576,Jeff,Forest Glen,50,3,66,2020-02-15,0.77,2,364,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
76,681842,Bedrm/Bath - Swanky Northside Condo.,3472696,Roxane,West Ridge,50,3,26,2019-10-16,0.29,1,358,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
78,724895,Close to Chicago music Fest! (Students discount),2885441,Tracy,West Town,39,1,131,2020-07-02,1.36,6,263,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
80,727847,Palmer Treehouse - Bedroom 2,62150,K.Anne,Logan Square,70,2,73,2019-10-22,0.76,3,365,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
81,731232,Logan Square-Chicago Prime Location-Longer Stays,3804977,Paul And Nancy,Logan Square,165,2,134,2020-03-03,1.39,1,327,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
82,739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,Lincoln Square,75,28,186,2020-03-12,2.13,1,244,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
83,753809,LUXURY LOOP w/Balcony GYM & SPA by Millennium Park,3965428,Rob,Loop,130,31,13,2015-08-15,0.14,73,365,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,Logan Square,72,25,19,2019-04-03,0.21,3,205,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
85,764856,Stunning Downtown Artist Loft (West Loop),2619611,Andrew,Near West Side,150,2,240,2020-08-30,2.51,2,128,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
88,790016,Italian style in elegant apartment,1185573,Graz Anton,Uptown,299,365,16,2013-08-18,0.17,3,365,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
89,802613,"Your Own Home, 2-Bath with Laundry and Parking!",1500490,Hailey,Logan Square,204,1,57,2019-11-02,0.61,2,364,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
90,824518,"Cozy, Beautiful & Vintage Drenched",2655877,Bret,West Town,95,28,87,2019-04-03,0.94,1,82,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
91,834943,Lincoln Square 2 Bedroom Condo - Welles Park View,4367266,Christopher,Lincoln Square,105,2,59,2020-08-18,1.87,1,266,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
92,841024,Lux 2bd 2bt Lakeview-Wrigleyville,1254363,Mark,Lake View,239,32,15,2017-03-19,0.17,2,365,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
94,887038,Vintage Lincoln Park 2 Bed 1 Block to Fullerton L,101521,Red,Lincoln Park,55,32,36,2017-05-26,0.4,4,365,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
95,903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,Logan Square,110,2,145,2020-03-19,1.64,1,204,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
96,929914,Charming apartment in Old Town,5007980,Lynn,Lincoln Park,115,2,311,2020-09-07,3.42,1,254,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
97,931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,East Garfield Park,101,3,23,2018-11-02,0.26,1,362,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
99,960326,Stay in a Designer Penthouse with Art Gallery,5228189,Matthew,West Town,146,1,274,2020-09-06,3.08,14,345,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
101,979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,Rogers Park,69,2,240,2020-02-16,2.67,4,264,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
102,979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,Rogers Park,69,2,233,2020-02-23,2.57,4,264,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
103,983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,Rogers Park,169,2,176,2020-02-17,1.98,4,263,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
104,1020810,Beautiful Condo in Chicago,3843347,Andrea,Near North Side,85,30,30,2020-04-06,0.33,3,310,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,1027405,Chicago Women's Residence/ Paris Rm,5654677,Urban Art,North Lawndale,45,2,6,2016-07-31,0.09,4,88,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
106,1027463,Chicago Women's ResidenceFlorenceRm,5654677,Urban Art,North Lawndale,45,2,10,2019-10-24,0.16,4,89,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
108,1056430,Charming space in Boystown/Lakeview,5830215,Albert And Antonio,Lake View,79,2,320,2020-03-15,3.53,1,355,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
109,1080532,Mid-Century mdn twnhs in Lakview,1838943,Sunnie/Randolph,Lake View,130,6,29,2019-10-18,0.33,2,119,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
110,1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,3965428,Rob,Near South Side,21,30,22,2020-08-03,0.25,73,218,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,1096191,Studio at the Lake,6023157,Nataliya,Uptown,55,30,46,2020-07-31,0.51,1,216,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
114,1142328,HUGE West Loop Artist Loft,6264764,Jeff And Jennifer,Near West Side,110,3,71,2017-03-04,0.79,2,362,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
115,1171860,"Lincoln Park Studio, Great Value!",2658212,James,Lincoln Park,99,30,541,2020-07-29,6.16,4,96,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
116,1183249,"Boystown Studio, Outstanding Value!",2658212,James,Lake View,99,26,504,2020-07-24,5.67,4,31,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
117,1185749,3 Bedroom Charming Vintage Hideaway,1664593,Matt & Christy,Near West Side,80,30,314,2020-03-14,3.53,1,117,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
118,1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,West Town,141,4,181,2020-07-13,2.04,2,353,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
119,1225964,Chicago 10 Minutes to MAG MILE!,6687262,Sharon,Lake View,70,2,9,2014-05-05,0.1,1,358,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
120,1249397,Spacious 3BD Home in Ravenswood,6808293,Jon,Lincoln Square,130,1,11,2019-11-30,0.13,2,82,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
121,1278457,Jumbo 4br in the Wicker/Ukranian,370619,Drew,West Town,225,7,22,2018-01-04,0.27,1,346,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
122,1304049,Private room near UIC Medical Dist.,7089017,Sharon,Near West Side,103,1,103,2019-10-23,1.2,1,365,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
123,1321332,Lincoln Park Single Family Home,946954,Jeff,Lincoln Park,511,2,77,2020-08-10,0.91,1,102,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
124,1325769,Historic Walk-Up; Safe Area & Close to EVERYTHING,7195599,Kelly,Lincoln Park,110,1,23,2019-06-30,0.26,1,89,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
125,1356190,Logan Square Vintage Deluxe Suite,3069675,Gabrielle,Logan Square,85,3,305,2020-07-06,3.57,1,325,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
126,1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,Lake View,105,1,33,2020-08-07,0.41,5,365,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
127,1369384,Private bed & bath w/garage parking,7385510,Anna,Irving Park,61,2,125,2018-11-25,1.44,1,286,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
128,1392594,"Bright open house, garden & deck",7528098,Eileen,Uptown,168,3,24,2019-09-16,0.28,1,341,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
129,1428024,Cozy room in Charming Apartment,4509503,Jessica,West Town,39,2,85,2020-09-05,1.0,1,114,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
130,1428589,Field Museum Experience at Ellis Place,2465946,Becky & John,Oakland,53,1,276,2020-08-09,3.18,4,363,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
131,1434078,Trendy Downtown 2 Bedroom,5402236,Casey,Lincoln Park,346,12,14,2019-05-24,0.18,3,362,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
132,1468342,Quaint Serenity in Bronzeville,4081052,Suzetta,Grand Boulevard,55,2,123,2020-02-16,1.42,1,364,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
133,1475647,01b. Twin bed in Shared Foster Cat Room,2907254,Joe,West Ridge,21,1,99,2020-08-30,1.14,8,153,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
134,1502674,The Biddle House (#2),33004,At Home Inn,Lincoln Park,105,4,37,2020-07-31,0.43,9,307,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
135,1502700,The Biddle House (WHOLE HOUSE),33004,At Home Inn,Lincoln Park,401,4,16,2019-09-02,0.21,9,328,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
136,1516154,Best Location Millennium Park Extended Stay POOL,3965428,Rob,Loop,60,31,18,2015-08-16,0.21,73,365,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,1541692,Private room in Chicago,8217410,Aisha & Antonio,Oakland,55,3,94,2019-11-21,1.23,1,294,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
138,1554433,Charming Home in Chicago,6088938,Eric,Beverly,49,2,166,2020-09-07,1.93,1,364,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
139,1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,Lower West Side,58,2,187,2020-03-29,5.73,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
